GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PC2,pc2.vacunacion,Main,4,0,0,0,2,0,2,0,2,0
PC2,pc2.vacunacion,Usuario,37,0,0,0,13,0,5,0,5,0
PC2,pc2.vacunacion,Login,54,0,6,0,11,0,6,0,3,0
PC2,pc2.vacunacion,Centro,17,0,0,0,9,0,4,0,4,0
PC2,pc2.vacunacion,VacInterface,144,0,6,0,33,0,20,0,17,0
